ImageId,ClassType,MultipolygonWKT
6120_2_4,1,MULTIPOLYGON EMPTY
6120_2_4,2,MULTIPOLYGON EMPTY
6120_2_4,3,"MULTIPOLYGON (((0.0040988885349386 -0.0066712871251797, 0.0040880948850770 -0.0066820908290261, 0.0040880948850770 -0.0066847917549877, 0.0040799996476808 -0.0066928945328726, 0.0040719044102846 -0.0066955954588342, 0.0040988885349386 -0.0066955954588342, 0.0040988885349386 -0.0066712871251797)))"
6120_2_4,4,MULTIPOLYGON EMPTY
6120_2_4,5,MULTIPOLYGON EMPTY
6120_2_4,6,MULTIPOLYGON EMPTY
6120_2_4,7,MULTIPOLYGON EMPTY
6120_2_4,8,MULTIPOLYGON EMPTY
6120_2_4,9,MULTIPOLYGON EMPTY
6120_2_4,10,MULTIPOLYGON EMPTY
6120_2_3,1,MULTIPOLYGON EMPTY
6120_2_3,2,MULTIPOLYGON EMPTY
