ImageId,ClassType,MultipolygonWKT
6120_2_4,1,GEOMETRYCOLLECTION EMPTY
6120_2_4,2,GEOMETRYCOLLECTION EMPTY
6120_2_4,3,GEOMETRYCOLLECTION EMPTY
6120_2_4,4,GEOMETRYCOLLECTION EMPTY
6120_2_4,5,GEOMETRYCOLLECTION EMPTY
6120_2_4,6,GEOMETRYCOLLECTION EMPTY
6120_2_4,7,GEOMETRYCOLLECTION EMPTY
6120_2_4,8,GEOMETRYCOLLECTION EMPTY
6120_2_4,9,GEOMETRYCOLLECTION EMPTY
6120_2_4,10,GEOMETRYCOLLECTION EMPTY
6120_2_3,1,GEOMETRYCOLLECTION EMPTY
6120_2_3,2,GEOMETRYCOLLECTION EMPTY
6120_2_3,3,GEOMETRYCOLLECTION EMPTY
6120_2_3,4,GEOMETRYCOLLECTION EMPTY
6120_2_3,5,GEOMETRYCOLLECTION EMPTY
6120_2_3,6,GEOMETRYCOLLECTION EMPTY
6120_2_3,7,GEOMETRYCOLLECTION EMPTY
6120_2_3,8,GEOMETRYCOLLECTION EMPTY
6120_2_3,9,GEOMETRYCOLLECTION EMPTY
6120_2_3,10,GEOMETRYCOLLECTION EMPTY
6120_2_1,1,GEOMETRYCOLLECTION EMPTY
6120_2_1,2,GEOMETRYCOLLECTION EMPTY
6120_2_1,3,GEOMETRYCOLLECTION EMPTY
6120_2_1,4,GEOMETRYCOLLECTION EMPTY
6120_2_1,5,GEOMETRYCOLLECTION EMPTY
6120_2_1,6,GEOMETRYCOLLECTION EMPTY
6120_2_1,7,GEOMETRYCOLLECTION EMPTY
6120_2_1,8,GEOMETRYCOLLECTION EMPTY
6120_2_1,9,GEOMETRYCOLLECTION EMPTY
6120_2_1,10,GEOMETRYCOLLECTION EMPTY
6180_2_4,1,GEOMETRYCOLLECTION EMPTY
6180_2_4,2,GEOMETRYCOLLECTION EMPTY
6180_2_4,3,GEOMETRYCOLLECTION EMPTY
6180_2_4,4,GEOMETRYCOLLECTION EMPTY
6180_2_4,5,GEOMETRYCOLLECTION EMPTY
6180_2_4,6,GEOMETRYCOLLECTION EMPTY
6180_2_4,7,GEOMETRYCOLLECTION EMPTY
6180_2_4,8,GEOMETRYCOLLECTION EMPTY
6180_2_4,9,GEOMETRYCOLLECTION EMPTY
6180_2_4,10,GEOMETRYCOLLECTION EMPTY
6180_2_1,1,GEOMETRYCOLLECTION EMPTY
6180_2_1,2,GEOMETRYCOLLECTION EMPTY
6180_2_1,3,GEOMETRYCOLLECTION EMPTY
6180_2_1,4,GEOMETRYCOLLECTION EMPTY
6180_2_1,5,GEOMETRYCOLLECTION EMPTY
6180_2_1,6,GEOMETRYCOLLECTION EMPTY
6180_2_1,7,GEOMETRYCOLLECTION EMPTY
6180_2_1,8,GEOMETRYCOLLECTION EMPTY
6180_2_1,9,GEOMETRYCOLLECTION EMPTY
6180_2_1,10,GEOMETRYCOLLECTION EMPTY
6180_2_0,1,GEOMETRYCOLLECTION EMPTY
6180_2_0,2,GEOMETRYCOLLECTION EMPTY
6180_2_0,3,GEOMETRYCOLLECTION EMPTY
6180_2_0,4,GEOMETRYCOLLECTION EMPTY
6180_2_0,5,GEOMETRYCOLLECTION EMPTY
6180_2_0,6,GEOMETRYCOLLECTION EMPTY
6180_2_0,7,GEOMETRYCOLLECTION EMPTY
6180_2_0,8,GEOMETRYCOLLECTION EMPTY
6180_2_0,9,GEOMETRYCOLLECTION EMPTY
6180_2_0,10,GEOMETRYCOLLECTION EMPTY
6180_2_3,1,GEOMETRYCOLLECTION EMPTY
6180_2_3,2,GEOMETRYCOLLECTION EMPTY
6180_2_3,3,GEOMETRYCOLLECTION EMPTY
6180_2_3,4,GEOMETRYCOLLECTION EMPTY
6180_2_3,5,GEOMETRYCOLLECTION EMPTY
6180_2_3,6,GEOMETRYCOLLECTION EMPTY
6180_2_3,7,GEOMETRYCOLLECTION EMPTY
6180_2_3,8,GEOMETRYCOLLECTION EMPTY
6180_2_3,9,GEOMETRYCOLLECTION EMPTY
6180_2_3,10,GEOMETRYCOLLECTION EMPTY
